,2010-2011,,,2011-2012,,,2012-2013,,,2013-2014,,,2014-2015,,,2015-2016,,,2016-2017,,,2017-2018,,,2018-2019,,,2019-2020,,,,
CIP Title,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,Total,Men,Women,,
Computer and Information Sciences and Support Services,"124,601","95,971","28,630","134,340","104,007","30,333","140,655","109,231","31,424","150,136","116,241","33,895","161,625","123,981","37,644","171,299","130,493","40,806","188,082","143,063","45,019","199,329","151,801","47,528","210,028","159,120","50,908","226,264","170,411","55,853",,
Engineering,"128,254","102,692","25,562","135,664","108,171","27,493","141,555","112,354","29,201","151,012","119,238","31,774","161,428","126,800","34,628","176,494","137,554","38,940","187,224","145,375","41,849","193,765","149,098","44,667","196,979","150,701","46,278","196,433","148,456","47,977",,
Engineering Technologies and Engineering-related Fields,"83,182","72,447","10,735","83,941","73,484","10,457","80,615","70,223","10,392","81,019","70,579","10,440","81,888","70,592","11,296","81,183","69,457","11,726","82,703","70,523","12,180","85,613","72,557","13,056","86,315","72,864","13,451","80,594","67,610","12,984",,
Biological and Biomedical Sciences,"113,137","46,937","66,200","120,785","50,251","70,534","127,217","52,848","74,369","133,077","55,467","77,610","138,930","57,251","81,679","144,540","58,470","86,070","148,292","58,520","89,772","152,323","58,513","93,810","157,100","58,885","98,215","163,612","59,084","104,528",,
Mathematics and Statistics,"26,601","15,614","10,987","28,603","16,878","11,725","31,393","18,531","12,862","32,749","19,353","13,396","34,412","20,489","13,923","36,616","21,824","14,792","39,045","23,236","15,809","42,582","25,308","17,274","44,846","26,686","18,160","47,072","28,191","18,881",,
Military Technologies and Applied Sciences,"1,040",841,199,"1,146",898,248,"1,166",891,275,"1,362","1,127",235,"1,672","1,355",317,"1,636","1,324",312,"1,989","1,603",386,"2,461","1,917",544,"2,759","2,113",646,"3,515","2,613",902,,
Physical Sciences,"39,449","24,023","15,426","42,232","25,774","16,458","44,286","27,327","16,959","46,474","28,603","17,871","47,815","29,589","18,226","49,016","30,391","18,625","50,021","30,592","19,429","51,512","31,393","20,119","51,294","30,920","20,374","50,494","29,631","20,863",,
Science Technologies/Technicians,"3,195","1,999","1,196","3,686","2,339","1,347","4,214","2,726","1,488","4,547","2,814","1,733","5,225","3,069","2,156","5,923","3,491","2,432","6,731","3,864","2,867","6,433","3,693","2,740","7,398","3,949","3,449","7,295","3,807","3,488",,
Grand total,"519,459","360,524","158,935","550,397","381,802","168,595","571,101","394,131","176,970","600,376","413,422","186,954","632,995","433,126","199,869","666,707","453,004","213,703","704,087","476,776","227,311","734,018","494,280","239,738","756,719","505,238","251,481","775,279","509,803","265,476",,
Percent of Total,,0.694037451,0.305962549,,0.69368474,0.30631526,,0.690124864,0.309875136,,0.688605141,0.311394859,,0.684248691,0.315751309,,0.679464892,0.320535108,,0.677154954,0.322845046,,0.673389481,0.326610519,,0.66766924,0.33233076,,0.657573596,0.342426404,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Computer and Information Sciences and Support Services,11,"171,299","130,493","40,806",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Engineering,14,"176,494","137,554","38,940",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Engineering Technologies and Engineering-related Fields,15,"81,183","69,457","11,726",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Biological and Biomedical Sciences,26,"144,540","58,470","86,070",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Mathematics and Statistics,27,"36,616","21,824","14,792",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Military Technologies and Applied Sciences,29,"1,636","1,324",312,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Physical Sciences,40,"49,016","30,391","18,625",,,,,,,,,,,,,,,,,,,,,,,
,,,,,Science Technologies/Technicians,41,"5,923","3,491","2,432",,,,,,,,,,,,,,,,,,,,,,,
